"slicenum","time","condition","censor","subnum","subgroup","run","cc200_LR_Thalamus","cc200_L_Thalamus","cc200_R_Thalamus","cc200_Thalamus"
93,NA,NA,1,"7779","proband","Pulse60",100.87,100.918,100.669,100.87
94,NA,NA,1,"7779","proband","Pulse60",99.7165,100.018,100.033,99.7165
95,NA,NA,1,"7779","proband","Pulse60",100.682,100.413,100.221,100.682
96,NA,NA,1,"7779","proband","Pulse60",100.058,100.264,100.157,100.058
97,NA,NA,1,"7779","proband","Pulse60",100.712,100.948,100.564,100.712
98,NA,NA,1,"7779","proband","Pulse60",100.558,101.006,100.908,100.558
99,NA,NA,1,"7779","proband","Pulse60",100.574,100.493,100.379,100.574
100,NA,NA,1,"7779","proband","Pulse60",100.24,100.203,100.443,100.24
101,NA,NA,1,"7779","proband","Pulse60",99.7497,99.4862,100.121,99.7497
102,NA,NA,1,"7779","proband","Pulse60",99.7179,99.4359,100.235,99.7179
103,NA,NA,1,"7779","proband","Pulse60",99.6169,99.7338,99.5692,99.6169
